DATAFLOW,LAST UPDATE,freq,dairyprod,milkitem,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2014,532.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2015,538.98,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2016,560.26,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2017,630.77,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2018,681.32,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2019,690.30,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2020,721.12,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2021,703.28,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,BG,2022,686.22,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CH,2006,1889.55,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CH,2007,3134.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CH,2011,3446.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CH,2014,3443.15,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CH,2015,3390.62,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CH,2016,3340.09,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CH,2017,3344.88,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CH,2018,3359.21,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CH,2019,3308.60,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CH,2020,3310.92,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,1987,90.10,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,1988,94.50,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,1989,104.80,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,1990,109.39,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,1991,111.90,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,1992,114.62,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,1993,124.39,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,1994,132.01,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,1995,143.68,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,1996,142.61,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,1997,139.67,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,1998,148.78,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,1999,147.43,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2000,161.13,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2001,164.04,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2002,174.14,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2003,182.81,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2004,171.61,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2005,173.86,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2006,173.20,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2007,169.59,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2008,174.12,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2009,178.57,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2010,189.41,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2011,195.36,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2012,191.67,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2013,193.56,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2014,200.22,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2015,201.33,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2016,223.40,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2017,267.47,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2018,285.09,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2019,303.79,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2020,341.79,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2021,379.36,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CY,2022,363.50,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CZ,1990,4512.43,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CZ,1991,3880.01,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CZ,1992,3252.74,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CZ,1993,2910.78,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CZ,1994,2725.48,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CZ,1995,2640.92,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CZ,1996,2609.71,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CZ,1997,2491.67,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CZ,1998,2543.28,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CZ,1999,2564.70,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CZ,2000,2589.73,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CZ,2001,2585.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CZ,2002,2594.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CZ,2003,2602.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CZ,2004,2565.00,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CZ,2005,2543.20,
ESTAT:APRO_MK_FARM(1.0),12/10/23 23:00:00,A,D0100AD,UWM,CZ,2006,2680.27,
